nome;dimensao;material; qtd ;unid; unit ; total 
VÁLVULA DE GAVETA COM FLANGES E CUNHA DE BORRACHA CORPO CURTO COM VOLANTE PN10;DN100;FD; 2,00 ;UN; 543,44 ; 1.086,88 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN100;DN100;EPDM; 4,00 ;UN; 21,31 ; 85,24 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN200;DN200;EPDM; 2,00 ;UN; 36,60 ; 73,20 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø16mmx80mm;Ø16mmx80mm;AÇO; 32,00 ;UN; 11,21 ; 358,72 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø20mmx90mm;Ø20mmx90mm;AÇO; 16,00 ;UN; 16,84 ; 269,44 
TÊ DE REDUÇÃO COM BOLSAS JUNTA TRAVADA EXTERNA JTE E FLANGE PN10;DN700x200;FD; 2,00 ;UN; 10.514,62 ; 21.029,24 
CURVA 45° COM FLANGES PN10;DN200;FD; 2,00 ;UN; 581,29 ; 1.162,58 
TOCO COM FLANGES PN10;DN200x0,50m;FD; 2,00 ;UN; 730,31 ; 1.460,62 
VÁLVULA DE GAVETA COM FLANGES E CUNHA DE BORRACHA CORPO CURTO COM CABEÇOTE PN10;DN200;FD; 2,00 ;UN; 1.356,14 ; 2.712,28 
TUBO COM FLANGE PN10 E PONTA;DN200x1,00m;FD; 2,00 ;UN; 1.329,48 ; 2.658,96 
TAMPA PARA REGISTRO TD5;100mm;FD; 2,00 ;UN; 31,22 ; 62,44 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN200;DN200;EPDM; 8,00 ;UN; 36,60 ; 292,80 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø20mmx90mm;Ø20mmx90mm;AÇO; 64,00 ;UN; 16,84 ; 1.077,76 
EXTREMIDADE COM FLANGE PN10 E BOLSA JUNTA TRAVADA EXTERNA JTE;DN1000;FD; 2,00 ;UN; 20.747,58 ; 41.495,16 
VÁLVULA DE GAVETA COM FLANGES E CUNHA DE BORRACHA CORPO CURTO COM VOLANTE PN10;DN200;FD; 1,00 ;UN; 1.424,37 ; 1.424,37 
TÊ DE REDUÇÃO COM FLANGES PN10;DN1000x200;FD; 1,00 ;UN; 19.991,71 ; 19.991,71 
CURVA DE 45° COM FLANGES PN10;DN200;FD; 1,00 ;UN; 581,29 ; 581,29 
VÁLVULA DE GAVETA COM FLANGES E CUNHA DE BORRACHA CORPO CURTO COM CABEÇOTE PN10;DN200;FD; 1,00 ;UN; 1.356,14 ; 1.356,14 
TUBO COM FLANGE E PONTA PN10;DN200x1,00m;FD; 1,00 ;UN; 1.329,48 ; 1.329,48 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN200x6,00m;FD; 1,00 ;UN; 422,71 ; 422,71 
TUBO COM PONTA E BOLSA JUNTA ELÁSTICA JE2GS K7;DN200x3,00m;FD; 1,00 ;UN; 2.238,40 ; 2.238,40 
TAMPA PARA REGISTRO TD5;100mm;FD; 1,00 ;UN; 31,22 ; 31,22 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN200;DN200;EPDM; 5,00 ;UN; 36,60 ; 183,00 
ARRUELA DE BORRACHA PARA JUNTA FLANGEADA PN10 - DN1000;DN1000;EPDM; 2,00 ;UN; 523,13 ; 1.046,26 
PARAFUSOS COM PORCAS SEXTAVADAS E ARRUELAS METÁLICAS PN10 - Ø20mmx90mm;Ø20mmx90mm;AÇO; 40,00 ;UN; 16,84 ; 673,60 
